what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263399358965
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263399390919
opened,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263399391055
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263399391111
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1263399391114
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263399393986
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263399406639
started,bundle,com.aptana.ide.editor.html,2.0.0.1257547875,com.aptana.ide.editor.html,1263399406765
started,bundle,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editor.erb,1263399406800
started,bundle,com.aptana.ide.snippets,2.0.0.1254164293,com.aptana.ide.snippets,1263399407001
started,bundle,com.aptana.ide.editor.css,2.0.0.1257380403,com.aptana.ide.editor.css,1263399407246
started,bundle,com.aptana.ide.parsing,2.0.0.1257900571,com.aptana.ide.parsing,1263399407316
started,bundle,com.aptana.ide.parsing.eclipse,2.0.0.1257900571,com.aptana.ide.parsing.eclipse,1263399407514
started,bundle,com.aptana.ide.editor.js,2.0.0.1257387989,com.aptana.ide.editor.js,1263399407756
started,bundle,com.aptana.ide.editors.codeassist,2.0.0.1253913567,com.aptana.ide.editors.codeassist,1263399408448
started,bundle,com.aptana.ide.core.spellcheck,2.0.0.1253913567,com.aptana.ide.core.spellcheck,1263399408723
opened,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263399409018
started,bundle,com.aptana.ide.editor.json,2.0.0.1257900571,com.aptana.ide.editor.json,1263399409207
started,bundle,com.aptana.ide.editor.xml,2.0.0.1253913567,com.aptana.ide.editor.xml,1263399409278
activated,editor,com.aptana.ide.editor.erb,1.2.3.1255543961,com.aptana.ide.editors.ERBEditor,1263399409395
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1263399409408
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263399421546
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263399422361
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263399423074
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263399456498
