what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.aptana.ide.editors,2.0.0.1256761519,com.aptana.ide.editors,1263401162749
stopped,bundle,com.aptana.ide.installer,2.0.0.1255027359,com.aptana.ide.installer,1263401162749
stopped,bundle,com.aptana.ide.search,2.0.0.1253913567,com.aptana.ide.search,1263401162802
stopped,bundle,com.aptana.ide.search.epl,2.0.0.1256158259,com.aptana.ide.search.epl,1263401162873
stopped,bundle,com.aptana.ide.server.portal,2.0.0.1254275737,com.aptana.ide.server.portal,1263401162873
stopped,bundle,com.aptana.ide.update.portal,2.0.0.1257900571,com.aptana.ide.update.portal,1263401163016
stopped,bundle,com.aptana.ide.update.ui,2.0.0.1257900571,com.aptana.ide.update.ui,1263401163016
stopped,bundle,com.aptana.ide.server.jetty,2.0.0.1256341583,com.aptana.ide.server.jetty,1263401163016
stopped,bundle,com.aptana.ide.syncing.doms,2.0.2.1257900571,com.aptana.ide.syncing.doms,1263401163075
stopped,bundle,com.aptana.ide.syncing.ui,2.0.2.1257900571,com.aptana.ide.syncing.ui,1263401163075
stopped,bundle,com.aptana.ide.ui.secureftp,2.0.0.1257900585,com.aptana.ide.ui.secureftp,1263401163172
